Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Coating/Sealant application (product.metafields.shopify.coating-sealant-application),Color (product.metafields.shopify.color-pattern),Hardware material (product.metafields.shopify.hardware-material),Material (product.metafields.shopify.material),Style (product.metafields.shopify.style),Suitable for material type (product.metafields.shopify.suitable-for-material-type),Suitable location (product.metafields.shopify.suitable-location),Suitable space (product.metafields.shopify.suitable-space),Tile design (product.metafields.shopify.tile-design),Tile look (product.metafields.shopify.tile-look),Tile material (product.metafields.shopify.tile-material),Tile texture (product.metafields.shopify.tile-texture),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / International,Price / International,Compare At Price / International,Status
ata-aus-screed-n-render-normal-set-25kg,ATA Aus Screed N Render Normal Set 25kg,"<h1><bdi>ATA Aus Screed N Render Normal Set 25kg Screed</bdi></h1>
<div class=""ut2-pb__top-ss"">
<div class=""ut2-pb__share""><a rel=""nofollow"" role=""button"" id=""sw_dropdown_sb"" class=""ut2-share-buttons-link cm-combination label""></a></div>
</div>
<div class=""ut2-breadcrumbs__wrapper"">
<div id=""breadcrumbs_401""></div>
</div>
<hr>
<div id=""content_description"" class=""ty-wysiwyg-content content-description"" data-ca-accordion-is-active-scroll-to-elm=""1"">
<div>
<h2>Description</h2>
<p>No need to add latex with this factory prepared sand and cement mortar with polymer additives.</p>
<p>Available in grey 25kg</p>
<h3>Uses</h3>
<ul>
<li>Can be used as a semi dry screed mortar or add it to a plastic render for a wide range of applications.</li>
<li>As a slurry bond coat it can be used as a semi dry mortar.</li>
<li>Suitable for masonry substrates.</li>
</ul>
<h3>Suitable for:</h3>
<ul>
<li>Internal and external areas</li>
<li>Dry, wet and submerged applications</li>
<li>Over concrete and raw fibre cement sheet</li>
<li>Bonded or divorced flooring systems</li>
<li>Extra heavy duty installations</li>
<li>Concrete patching</li>
</ul>
<p>Internal and external use.</p>
</div>
</div>
<div id=""content_product_bundles"" class=""ty-wysiwyg-content content-product_bundles""></div>
<div class=""tab-list-title"" id=""features""></div>",Northern TILE Distributors,Business & Industrial,"","ata, aus-crete, BLACK BAG, glue, SCREED, SCREEN N RENDER, super",true,Title,Default Title,,,,,,,,,20000.0,,deny,manual,20.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0463/9267/2415/files/Screen_Shot_2024-09-04_at_3.15.10_pm.png?v=1725427009,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
ata-aus-flex-multi-com-green-bag-20kg,ATA Aus-Flex Multi-Com (Green Bag) 20kg,"<h1><bdi>ATA Aus-Flex Multi-Commercial (Green Bag) Grey 20kg Rubber Based Tile Adhesive</bdi></h1>
<h2>Description</h2>
<p>Commercial grade tile and stone adhesive that is high performance, flexible, Polymer and rubber fortified. Great coverage and easy to use.</p>
<p>Available in light grey, 20kg</p>
<h3>Uses</h3>
<p>Adheres to a wide range of substrates</p>
<ul>
<li>Cement sheet</li>
<li>Plaster board</li>
<li>Waterproof membranes</li>
<li>Concrete</li>
<li>Render</li>
<li>Screeds</li>
</ul>
<p>Internal and external use</p>
<p> </p>",Northern TILE Distributors,Business & Industrial,"","ata, aus-crete, glue, multicom, rubber, super",true,Title,Default Title,,,,,,,,,20000.0,,deny,manual,23.00,25.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0463/9267/2415/files/Screen_Shot_2024-09-04_at_1.51.10_pm.png?v=1725422041,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
ardex-d2-22kg-mastic-tile-adhesive,Ardex D2 22kg Mastic Tile Adhesive,"<h2 class=""section-headline"">ARDEX D2</h2>
<div class=""tab-columns"">
<p>ARDEX D 2 is a premium dispersion adhesive offering superior non slump and shear adhesion characteristics. Use in wet areas* without compromising adhesion strength over time.</p>
<ul>
<li>Superior non slump capability</li>
<li>Excellent workability</li>
<li>High flexibility</li>
<li>Low odour</li>
<li>Unique formulation for use in wet areas</li>
</ul>
<p><strong>Tile Types:</strong></p>
<ul>
<li>Ceramic tiles, fully vitrified tiles, glass mosaics, porcelain and natural stone (excluding moisture sensitive stone)</li>
</ul>
<p><strong>Substrates:</strong></p>
<ul>
<li>Cement render, concrete</li>
<li>Fibre-cement sheet, plasterboard</li>
<li>ARDEX undertile liquid applied waterproofing membranes*</li>
</ul>
<p>(*Not suitable for dense tiles over non-absorbent substrates such as waterproofing membranes due to prolonged drying times)</p>
</div>",ardex,Hardware > Building Consumables > Hardware Glue & Adhesives,Glue,"Ardex, d2, glue, mastic",true,Title,Default Title,,,,,,,,"",22000.0,,deny,manual,98.00,98.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/ardexd2.jpg?v=1725241386,1,"",false,,,,,,,,,,,,,,,,,white,,,,ceramic; concrete; glass; porcelain; stone,,indoors; outdoors,,,,,,kg,,88.00,true,,,false,,,active
rectified-gloss-white-600x300mm-copy,Rectified Gloss White 600x300mm,"<p data-mce-fragment=""1"">Rectified Gloss White 600x300mm</p>
<p data-mce-fragment=""1"">✅Price is per m2. please order according to m2 per box 1.44m2</p>
<p class=""p1"" data-mce-fragment=""1""><strong data-mce-fragment=""1""><span class=""s1"" data-mce-fragment=""1"">Product Features</span></strong></p>
<p class=""p2"" data-mce-fragment=""1""><strong><span class=""s2"" data-mce-fragment=""1"">M2 per Box: </span></strong><span class=""s2"" data-mce-fragment=""1"">1.44</span></p>
<p class=""p2"" data-mce-fragment=""1""><strong><span class=""s2"" data-mce-fragment=""1"">Material: </span></strong><span class=""s3"" data-mce-fragment=""1"">Rectified Ceramic<br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Finish:</strong>  Gloss white</span><span class=""s3"" data-mce-fragment=""1""><br data-mce-fragment=""1""></span><strong><span class=""s2"" data-mce-fragment=""1"">Slip Rating: </span></strong><span class=""s3"" data-mce-fragment=""1""><br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Edge:</strong> </span><span class=""s3"" data-mce-fragment=""1"">Rectified<br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Size:</strong> </span><span class=""s3"" data-mce-fragment=""1"">600x300mm<br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Application:</strong> Internal walls</span></p>",Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,Ceramic,"600x300, gloss, rectified white ceramic, white, white ceramic",true,Title,Default Title,,,,,,,,,25000.0,,deny,manual,19.50,24.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0463/9267/2415/files/Screenshot2024-08-28at7.46.33PM.png?v=1724838553,1,"",false,,,,,,,,,,,,,,,,,white,,,,,bathroom; kitchen; living-room; bedroom,indoors; outdoors,,,ceramic,,,kg,,11.50,true,,,true,,,active
rectified-gloss-white-600x300mm-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0463/9267/2415/files/WhiteGemmaMatteInsitu_jpg.webp?v=1724838703,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rectified-gloss-white-600x300mm-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0463/9267/2415/files/Screenshot2024-08-28at7.46.44PM.png?v=1724838556,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rectified-matt-white-600x300mm,Rectified Matt White 600x300mm,"<p data-mce-fragment=""1"">Rectified Matt White 600x300mm</p>
<p data-mce-fragment=""1"">✅Price is per m2. please order according to m2 per box 1.44m2</p>
<p class=""p1"" data-mce-fragment=""1""><strong data-mce-fragment=""1""><span class=""s1"" data-mce-fragment=""1"">Product Features</span></strong></p>
<p class=""p2"" data-mce-fragment=""1""><strong><span class=""s2"" data-mce-fragment=""1"">M2 per Box: </span></strong><span class=""s2"" data-mce-fragment=""1"">1.44</span></p>
<p class=""p2"" data-mce-fragment=""1""><strong><span class=""s2"" data-mce-fragment=""1"">Material: </span></strong><span class=""s3"" data-mce-fragment=""1"">Rectified Ceramic<br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Finish:</strong>  Matt white</span><span class=""s3"" data-mce-fragment=""1""><br data-mce-fragment=""1""></span><strong><span class=""s2"" data-mce-fragment=""1"">Slip Rating: </span></strong><span class=""s3"" data-mce-fragment=""1""><br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Edge:</strong> </span><span class=""s3"" data-mce-fragment=""1"">Rectified<br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Size:</strong> </span><span class=""s3"" data-mce-fragment=""1"">600x300mm<br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Application:</strong> Internal walls</span></p>",Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,Ceramic,"600x300, rectified white ceramic, white, white ceramic",true,Title,Default Title,,,,,,,,"",25000.0,,deny,manual,19.50,24.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/Screenshot2024-08-28at7.46.33PM.png?v=1724838553,1,"",false,,,,,,,,,,,,,,,,,white,,,,,bathroom; kitchen; living-room; bedroom,indoors; outdoors,,,ceramic,,,kg,,11.50,true,,,true,,,active
rectified-matt-white-600x300mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0463/9267/2415/files/WhiteGemmaMatteInsitu_jpg.webp?v=1724838703,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rectified-matt-white-600x300mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0463/9267/2415/files/Screenshot2024-08-28at7.46.44PM.png?v=1724838556,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
primer-g,Primer G,"<h2>Mapei PRIMER G</h2>
<p>Synthetic resin based primer in water dispersion.<strong><br></strong></p>
<p><strong>Applications:</strong></p>
<p>Treating gypsum or anhydrite surfaces prior to installing ceramic tiles and stone material with cementitious adhesives or levelling. The surfaces to be treated must be clean and porous.<br>Dilute Primer G with water from 1:1 to 1:3 to protect old floors before levelling, to fix the residual dusting and to provide even absorption of substrates prior to levelling or laying. Apply on perfectly dry gypsum or anhydrite surfaces (residual moisture content less than 0.5%).<br></p>
<p><strong>Technical data:</strong><br>Minimum drying time: 2 hours.<br>Application: brush or by spray.<br>Storage: 24 months. Protect from frost.<strong><br></strong></p>
<p><strong>Consumption</strong><br>0.1-0.2 kg/m2 depending on use.<strong><br></strong></p>
<p><strong>Packaging</strong><br>25-10-5 kg drums</p>
<!---->",mapei,Hardware > Building Consumables > Masonry Consumables,"","mapei, primer g",true,Title,Default Title,,,,,,,,"",5000.0,,deny,manual,40.00,45.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/Screenshot2024-08-06at10.49.53AM.png?v=1722905419,1,"",false,,,,,,,,,,,,,,,,,blue,,,,,,,,,,,,kg,,,true,,,true,,,active
rockfacewhite,ROCKFACE WHITE 600x600mm,"<p><strong>Our Rockface White porcelain tile features a smooth, render finish. With its clean and bright white colour, this tile is perfect for creating an effortlessly modern and sophisticated look in any space. Made from premium materials, it offers durability and easy maintenance, making it a practical and stylish choice for your next project.</strong></p>
<p data-mce-fragment=""1"">600x600 10mm porcelain IN/OUT.</p>
<p data-mce-fragment=""1"">✅Price is per m2, not per box. </p>
<p class=""p1"" data-mce-fragment=""1""><strong data-mce-fragment=""1""><span class=""s1"" data-mce-fragment=""1"">Product Features</span></strong></p>
<p class=""p2"" data-mce-fragment=""1""><strong><span class=""s2"" data-mce-fragment=""1"">Material: </span></strong><span class=""s3"" data-mce-fragment=""1"">Porcelain<br><strong>M2 per box:</strong> 1.44m2 please order according to this.<br></span><span class=""s3"" data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Finish:</strong>  </span><span class=""s3"" data-mce-fragment=""1"">Indoor / Outdoor technology<br data-mce-fragment=""1""></span><strong><span class=""s2"" data-mce-fragment=""1"">Slip Rating: </span></strong><span class=""s2"" data-mce-fragment=""1"">P4</span><span class=""s3"" data-mce-fragment=""1""><br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Edge:</strong> </span><span class=""s3"" data-mce-fragment=""1"">Rectified<br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Size:</strong> </span><span class=""s3"" data-mce-fragment=""1"">600x600mm<br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Application:</strong> External floors, </span><span class=""s3"" data-mce-fragment=""1"">Internal Floors, Kitchen, Living, Bathroom and walls.</span></p>
<!---->",Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,wall tiles,"Everest white, Graffiato, render tile, Rockface, white",true,Title,Default Title,,,,,,,,"",31000.0,,deny,manual,80.00,105.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/IMG-1512.jpg?v=1722250564,1,"",false,,,,,,,,,,,,,,,,,,,porcelain,,,,,,,,,,kg,,,true,,,true,,,active
rockfacewhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0463/9267/2415/files/FullSizeRender.jpg?v=1722250564,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protoolbox,Pro Tool Box - 5pcs / 6-50mm,"<h2><strong>Pro Tool Box - 5pcs</strong></h2>
<p><strong>Item: </strong>Vacuum Brazed Diamond Drill Core Bits with Box M14 Thread</p>
<p><strong>Quantity:</strong> 5pcs products + Case </p>
<p><b>Specifications</b><strong>: </strong></p>
<p>5 Drill Bits: 6mm, 25mm, 35mm, 38mm, 50mm.</p>
<p>Total length: 60mm, Connection: M14 Thread, Diamond height 10MM;</p>
<p>Box Size: 22x15x8CM</p>
<p><strong>Application:</strong></p>
<p>Dry/wet drilling for porcelain tile, granite, marble, ceramic</p>
<p><strong>Features: </strong></p>
<p>- Vacuum brazed technology provide high efficient working performance,</p>
<p>- Fast and Smooth drilling,6mm-10mm bits with Wax inside helps cooling the bits,</p>
<p>- Long lifetime , Less Chipping ,</p>
<p>- Minimising any breakage </p>
<!---->",Northern TILE Distributors,Hardware > Tool Accessories > Drill & Screwdriver Accessories > Drill & Screwdriver Bits,drill bits,"5, box, diamond drill, drill, drill bits, tool, tool box",true,Title,Default Title,,,,,,,,"",4000.0,,deny,manual,110.00,130.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/NTD_Posts_6.png?v=1719983740,1,"",false,,,,,,,,,,,,,,,,,blue; silver,metal,,,ceramic; granite; marble; porcelain,,,,,,,,kg,,60.00,true,,,true,,,active
protoolbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0463/9267/2415/files/NTD_Posts_5.png?v=1719983740,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protoolbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0463/9267/2415/files/IMG_81612.heic?v=1719971326,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protoolbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0463/9267/2415/files/IMG_8162.heic?v=1719971326,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
durotech-007fc-fc-15-litres-blue-sbr-fast-cure-membrane,Durotech 007FC FC 15 Litres Blue SBR Fast Cure Membrane,"<div class=""ut2-pb__wrapper clearfix"">
<div class=""ut2-pb__img-wrapper ty-product-block__img-wrapper"">
<div class=""ut2-pb__img cm-reload-11544 images-1"" data-ca-previewer=""true"" id=""product_images_11544_update"">
<div class=""ab_vg-images-wrapper clearfix"" data-ca-previewer=""true"">
<div id=""product_images_115446667c232e31b1"" class=""ty-product-img cm-preview-wrapper owl-carousel owl-theme"">
<div class=""owl-wrapper-outer"">
<div class=""owl-wrapper""></div>
</div>
</div>
</div>
</div>
</div>
</div>
<div id=""content_description"" class=""ty-wysiwyg-content content-description"" data-ca-accordion-is-active-scroll-to-elm=""1"">
<div>
<h2>Durotech 007FC FC</h2>
<p>SBR FAST CURE WPM is a Class 3 fast curing water-based and micro- fibre reinforced SBR based waterproofing membrane which provides excellent flexibility and crack bridging capability. It is a 2-coat system, to be applied over primed “porous and non- porous” substrates for internal and external under tile applications.</p>
<h3>Features</h3>
<ul>
<li>Fast drying. Recoat in 2 hours @ 22⁰C &amp; 50% RH</li>
<li>Flood test after 24 hours @ 22⁰C &amp; 50% RH</li>
<li>Can be tiled over after 4-6 hours @ 22⁰C &amp; 50% RH in non-critical areas</li>
<li>Class III, high elasticity as per AS/NZS 4858 Wet Area Membranes</li>
<li>Water-based, pre-mixed -ready and easy to use and easy clean up</li>
<li>Environmentally friendly –LOW VOC and free of respirable silica</li>
<li>For commercial and residential internal/external wet areas, balconies, decks and other areas that will be tiled over</li>
</ul>
<h3>Area Used</h3>
<ul>
<li>As a waterproofing membrane under tile to internal wet area shower, bathroom, kitchen, laundry and toilet areas when installed according to AS/NZ 3740</li>
<li>Suitable for concrete; cement rendered masonry; FC sheeting; water resistant plasterboard; and structural plywood (Type A Stamped “PAA JAS-ANZ” to AS/NZS 2269- 2004) substrates</li>
</ul>
</div>
</div>
<div id=""content_product_bundles"" class=""ty-wysiwyg-content content-product_bundles""></div>
<div class=""tab-list-title"" id=""features"">Features</div>
<hr>
<div id=""content_features"" class=""ty-wysiwyg-content content-features"" data-ca-accordion-is-active-scroll-to-elm=""1"">
<div class=""ty-product-feature"">
<div class=""ty-product-feature__label object-container"">
<span>Brands</span><a id=""opener_ut2_features_dialog_562"" class=""cm-dialog-opener cm-dialog-auto-size ty-icon ty-icon-help-circle cm-dialog-auto-size ut2-append-body"" href=""https://www.tradiecart.com.au/#"" data-ca-target-id=""content_ut2_features_dialog_562"" data-ca-dialog-title=""Brands"" rel=""nofollow""><bdi></bdi></a>
</div>
<div class=""ty-product-feature__value""><a href=""https://www.tradiecart.com.au/flooring/waterproofing/durotech/"">Durotech</a></div>
</div>
<div class=""ty-product-feature"">
<div class=""ty-product-feature__label""><span>Colour</span></div>
<div class=""ty-product-feature__value"">Blue</div>
</div>
<div class=""ty-product-feature"">
<div class=""ty-product-feature__label""><span>Product Type</span></div>
<div class=""ty-product-feature__value"">
<ul class=""ty-product-feature__multiple"">
<li class=""ty-product-feature__multiple-item"">
<span class=""ty-product-feature__prefix""></span>SBR<span class=""ty-product-feature__suffix""></span>
</li>
</ul>
</div>
</div>
<div class=""ty-product-feature"">
<div class=""ty-product-feature__label""><span>Product URL</span></div>
<div class=""ty-product-feature__value"">https://www.durotechindustries.com.au/products/detail/durotech-007fc-sbr-</div>
</div>
<div class=""ty-product-feature"">
<div class=""ty-product-feature__label""><span>Size</span></div>
<div class=""ty-product-feature__value"">15 Litres</div>
</div>
<div class=""ty-product-feature"">
<div class=""ty-product-feature__label""><span>Delivery</span></div>
<div class=""ty-product-feature__value"">Same Day</div>
</div>
</div>
<!---->",Northern TILE Distributors,Hardware > Building Consumables > Protective Coatings & Sealants > Protective Coatings,waterproof,"007fc, Ardex, cure, durotech007, fast cure membrane, fc, WATERPROOFING",true,Title,Default Title,,,,,,,,"",15000.0,,deny,manual,130.00,140.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/ScreenShot2024-06-11at1.19.44pm.png?v=1718076433,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,97.00,true,,,true,,,active
baltic-stone-beige-600x600mm,BALTIC STONE BEIGE 600x600mm,"<p data-mce-fragment=""1"">600x600 10mm porcelain IN/OUT.</p>
<p data-mce-fragment=""1"">✅Price is per m2.</p>
<p class=""p1"" data-mce-fragment=""1""><strong data-mce-fragment=""1""><span class=""s1"" data-mce-fragment=""1"">Product Features</span></strong></p>
<p class=""p2"" data-mce-fragment=""1""><strong><span class=""s2"" data-mce-fragment=""1"">Material: </span></strong><span class=""s3"" data-mce-fragment=""1"">Porcelain<br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Finish:</strong>  </span><span class=""s3"" data-mce-fragment=""1"">Indoor / Outdoor technology<br data-mce-fragment=""1""></span><strong><span class=""s2"" data-mce-fragment=""1"">Slip Rating: </span></strong><span class=""s3"" data-mce-fragment=""1""><br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Edge:</strong> </span><span class=""s3"" data-mce-fragment=""1"">Rectified<br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Size:</strong> </span><span class=""s3"" data-mce-fragment=""1"">600x600mm<br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Application:</strong> External floors, </span><span class=""s3"" data-mce-fragment=""1"">Internal Floors, Kitchen, Living, Bathroom</span></p>",Northern TILE Distributors,Hardware > Building Materials > Wall & Ceiling Tile,Tile,"BALTIC, BALTIC STONE BEIGE, Beige, IN OUT, NORDIC, NTD151",true,Title,Default Title,,,,,,,,,30000.0,,deny,manual,42.00,50.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0463/9267/2415/files/IMG_92592.heic?v=1713332508,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,13.20,true,,,true,,,active
baltic-stone-beige-600x600mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0463/9267/2415/files/ScreenShot2024-04-17at3.40.48pm.png?v=1713332472,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baltic-stone-dark-grey-600x600mm,BALTIC STONE DARK GREY 600x600mm,"<p data-mce-fragment=""1"">600x600 10mm porcelain IN/OUT.</p>
<p data-mce-fragment=""1"">✅Price is per m2.</p>
<p class=""p1"" data-mce-fragment=""1""><strong data-mce-fragment=""1""><span class=""s1"" data-mce-fragment=""1"">Product Features</span></strong></p>
<p class=""p2"" data-mce-fragment=""1""><strong><span class=""s2"" data-mce-fragment=""1"">Material: </span></strong><span class=""s3"" data-mce-fragment=""1"">Porcelain<br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Finish:</strong>  </span><span class=""s3"" data-mce-fragment=""1"">Indoor / Outdoor technology<br data-mce-fragment=""1""></span><strong><span class=""s2"" data-mce-fragment=""1"">Slip Rating: </span></strong><span class=""s3"" data-mce-fragment=""1""><br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Edge:</strong> </span><span class=""s3"" data-mce-fragment=""1"">Rectified<br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Size:</strong> </span><span class=""s3"" data-mce-fragment=""1"">600x600mm<br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Application:</strong> External floors, </span><span class=""s3"" data-mce-fragment=""1"">Internal Floors, Kitchen, Living, Bathroom</span></p>",Northern TILE Distributors,Hardware > Building Materials > Wall & Ceiling Tile,Tile,"BALTIC, BALTIC STONE DARK GREY, dark grey, grey, IN OUT, NORDIC, NTD151",true,Title,Default Title,,,,,,,,,30000.0,,deny,manual,42.00,50.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0463/9267/2415/files/FullSizeRender.heic?v=1722477653,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,13.20,true,,,true,,,active
baltic-stone-grigio-600x600mm,BALTIC STONE GRIGIO 600x600mm,"<p data-mce-fragment=""1"">600x600 10mm porcelain IN/OUT.</p>
<p data-mce-fragment=""1"">✅Price is per m2.</p>
<p class=""p1"" data-mce-fragment=""1""><strong data-mce-fragment=""1""><span class=""s1"" data-mce-fragment=""1"">Product Features</span></strong></p>
<p class=""p2"" data-mce-fragment=""1""><strong><span class=""s2"" data-mce-fragment=""1"">Material: </span></strong><span class=""s3"" data-mce-fragment=""1"">Porcelain<br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Finish:</strong>  </span><span class=""s3"" data-mce-fragment=""1"">Indoor / Outdoor technology<br data-mce-fragment=""1""></span><strong><span class=""s2"" data-mce-fragment=""1"">Slip Rating: </span></strong><span class=""s3"" data-mce-fragment=""1""><br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Edge:</strong> </span><span class=""s3"" data-mce-fragment=""1"">Rectified<br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Size:</strong> </span><span class=""s3"" data-mce-fragment=""1"">600x600mm<br data-mce-fragment=""1""></span><span class=""s2"" data-mce-fragment=""1""><strong>Application:</strong> External floors, </span><span class=""s3"" data-mce-fragment=""1"">Internal Floors, Kitchen, Living, Bathroom</span></p>",Northern TILE Distributors,Hardware > Building Materials > Wall & Ceiling Tile,Tile,"BALTIC, BALTIC STONE GRIGIO, grey, GRIGIO, IN OUT, NORDIC, NTD151",true,Title,Default Title,,,,,,,,,30000.0,,deny,manual,42.00,50.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0463/9267/2415/files/ScreenShot2024-04-17at3.18.50pm.png?v=1713331195,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,13.20,true,,,true,,,active
baltic-stone-grigio-600x600mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0463/9267/2415/files/ScreenShot2024-04-17at3.19.00pm.png?v=1713331168,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baltic-stone-grigio-600x600mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0463/9267/2415/files/ScreenShot2024-04-17at3.19.12pm.png?v=1713331168,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
