Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Coating/Sealant application (product.metafields.shopify.coating-sealant-application),Color (product.metafields.shopify.color-pattern),Hardware material (product.metafields.shopify.hardware-material),Material (product.metafields.shopify.material),Style (product.metafields.shopify.style),Suitable for material type (product.metafields.shopify.suitable-for-material-type),Suitable location (product.metafields.shopify.suitable-location),Suitable space (product.metafields.shopify.suitable-space),Tile design (product.metafields.shopify.tile-design),Tile look (product.metafields.shopify.tile-look),Tile material (product.metafields.shopify.tile-material),Tile texture (product.metafields.shopify.tile-texture),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / International,Price / International,Compare At Price / International,Status
nsw-spotted-gum-2,NSW Spotted Gum,<p>✅Herringbone Boards – 640mm x 228mm x 7mm<br>✅0.5mm Wear Layer<br>✅5mm Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅1.64m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,H4410,0.0,,deny,manual,48.99,,true,true,,,,,"",,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
grey-ghost-2,Grey Ghost,<p>✅Herringbone Boards – 640mm x 228mm x 7mm<br>✅0.5mm Wear Layer<br>✅5mm Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅1.64m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,H4409,0.0,,deny,manual,48.99,,true,true,,,,,"",,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
classic-oak-3,Classic Oak,<p>✅Herringbone Boards – 640mm x 228mm x 7mm<br>✅0.5mm Wear Layer<br>✅5mm Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅1.64m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,H4407,0.0,,deny,manual,48.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/H4407_Classic_Oak_1.png?v=1773060731,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
blackbutt-1,Blackbutt,<p>✅Straight Boards – 1524mm x 228mm x 9.5mm<br>✅0.5mm Wear Layer<br>✅Extra Thick Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅656m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,'9516,0.0,,deny,manual,48.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/9416_Blackbutt_2_optimized.jpg?v=1773207755,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
salem-oak-1,Salem Oak,<p>✅Straight Boards – 1524mm x 228mm x 9.5mm<br>✅0.5mm Wear Layer<br>✅Extra Thick Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅656m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,'9515,0.0,,deny,manual,48.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/9515_Salem_Oak_e34691d5-cd1f-45c6-b26a-fe042a3b2a5b.jpg?v=1773047974,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
grey-ghost-1,Grey Ghost,<p>✅Straight Boards – 1524mm x 228mm x 9.5mm<br>✅0.5mm Wear Layer<br>✅Extra Thick Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅656m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,'9509,0.0,,deny,manual,48.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/9509_Grey_Ghost_9fa7288f-2bb7-4b0b-9d39-b91b495bfc13.jpg?v=1773047856,1,"",false,,,,,,,,,,,,,,,,,gray,,wood; synthetic,minimalist; modern,,living-room; bedroom; hallway; kitchen; bathroom,indoors,,,,,,kg,,,true,,,true,,,active
classic-oak-2,Classic Oak,<p>✅Straight Boards – 1524mm x 228mm x 9.5mm<br>✅0.5mm Wear Layer<br>✅Extra Thick Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅656m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,'9507,0.0,,deny,manual,48.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/9507_Classic_Oak_2_2_1_1.jpg?v=1773205085,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
natural-oak,Natural Oak,<p>✅Straight Boards – 1524mm x 228mm x 8.5mm<br>✅0.5mm Wear Layer<br>✅Thickened Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅1.732m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,'8506,0.0,,deny,manual,44.95,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/8506_Natural_Oak_optimized.jpg?v=1773207325,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
nsw-spotted-gum-1,NSW Spotted Gum,<p>✅Straight Boards – 1524mm x 228mm x 8.5mm<br>✅0.5mm Wear Layer<br>✅Thickened Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅1.732m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,'8510,0.0,,deny,manual,44.95,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/8510NSWSpottedGum.jpg?v=1773047175,1,"",false,,,,,,,,,,,,,,,,,brown,,wood; synthetic,modern; contemporary,,living-room; bedroom; hallway; kitchen; bathroom,indoors,,,,,,kg,,,true,,,true,,,active
classic-oak-1,Classic Oak,<p>✅Straight Boards – 1524mm x 228mm x 8.5mm<br>✅0.5mm Wear Layer<br>✅Thickened Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅1.732m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,'8507,0.0,,deny,manual,44.95,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/8507_Classic_Oak_optimized.jpg?v=1773207454,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
